title,price,rating
Samsung DUOS //B310E //Dual SIM //Ksly -Blue,"KSh 1,899",4 out of 5
Vivo Y93s 6GB+128GB 6.2'' 13MP+2MP Camera Face Wake Dual SIM 4030mAh Smartphone,"KSh 9,531",0 out of 5
"Samsung Galaxy F13, 6.6"", 4GB RAM + 64GB (Dual SIM), 6000mAh, Waterfall Blue","KSh 17,790",5 out of 5
Oppo A3S 64GB + 4GBRAM - 4G LTE Dual SIM - 6.2-inch Display - Face Unlock Purple,"KSh 8,966",0 out of 5
"Samsung Galaxy A32, 6.4"", 128GB + 6GB RAM (Dual SIM), 5000mAh, Awesome Black","KSh 27,890",4.4 out of 5
"Samsung Galaxy A03, 6.5"", 32GB + 3GB RAM (Dual SIM), 5000mAh, Blue","KSh 13,151",4.3 out of 5
"Infinix Hot 12i, 6.6"", 64GB + 2GB RAM (UP TO 4GB) Dual SIM, 5000mAh, 4G....","KSh 13,150",5 out of 5
"Vivo Y01, 6.51'', 32 GB + 2 GB RAM (Dual SIM) -  Elegant Black","KSh 10,999",4.4 out of 5
"Tecno Spark 9T, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 16,495",5 out of 5
Apple IPhone 5 4'' 1GB+16GB 4G LTE 8MP/1.0MP Refurbished 95% New IOS Smartphone,"KSh 8,493",3.4 out of 5
Oppo A83 4GB+64GB RAM - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock-(black),"KSh 7,200",0 out of 5
"Samsung Galaxy A13, 6.6"", 128GB+4GB (Dual SIM), 5,000 MAh, Black + Smart Watch & Airpods","KSh 22,897",4.4 out of 5
"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh +FREE GIFTS","KSh 11,299",3.8 out of 5
"Blackview BV6600 Rugged Phone, 4GB+64GB, 5.7 Inch Android 10 4G Smartphone - Black","KSh 22,100",0 out of 5
"Bontel Honey 1.54""// Color Display Flip Phone//c,e","KSh 2,100",5 out of 5
Oppo A31 6GB RAM+128G ROM 6.5in ScreenHD Camera 12MP Fingerprint Smartphone,"KSh 13,890",0 out of 5
"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh +FREE GIFTS","KSh 11,299",3.8 out of 5
"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, Eco Black","KSh 22,599",4.2 out of 5
Not found,error,error
"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, MEMPHIS GREEN","KSh 22,846",4.2 out of 5
XIAOMI Redmi Note 3 ( USED ) 4G SMART PHONE GLOBAL ROM WITH GOOGLE,"KSh 3,999 - KSh 4,999",0 out of 5
"Nokia 106 (2018) - 1.8inch - Dual SIM, --Black","KSh 1,699",4.2 out of 5
"Itel 2160// Dual SIM//Black//""C.E""","KSh 1,310",4.7 out of 5
"Itel A16 Plus, 5""Display, 8GBROM + 1GBRAM (Dual SIM)- Black","KSh 5,199",4 out of 5
Poco M4 Pro 6GB + 128GB 64MP 5000mAh 4G NFC Smartphone - Cool Blue,"KSh 24,999",4.6 out of 5
"XIAOMI Redmi Note 11S, 6+128GB, 6.43"", 1080p, 4G LTE, Gray","KSh 27,499",4.4 out of 5
"Nokia C1 2nd Edition ,5.45"" - 16GB + 1GB (Dual Sim) 2500 MAh, 5MP, Blue","KSh 7,199",0 out of 5
"Nokia G21, 6.5″, 128GB ROM+ 4GB RAM Dual SIM, 5050 MAh,  Dusk+Smart Watch +Power Bank","KSh 20,499",4 out of 5
"Tecno SPARK 8C, 6.6"" [64GB + 3GB RAM], (DUAL SIM), 5000MAH + 8 FREE GIFTS","KSh 16,654",4 out of 5
"Vonex X10 Camera, FM Radio, (Dual Sim), 2500mAH, With Torch With Facebook","KSh 1,599",4 out of 5
"Nokia 106, 1.8"" Display [4MB RAM + 4MB ROM],, (Dual Sim) - Black+ 32GB MEMORY+ GIFTS","KSh 2,400",0 out of 5
"Nokia G21, 6.5″ – 128GB ROM+ 4GB RAM Dual SIM, 5050 MAh, Blue","KSh 19,379",4.5 out of 5
"Itel 5081,Triple Sim/,Opera Mini //,superfly,2.4disp","KSh 1,740",4.3 out of 5
"Tecno Camon 18, 6.8"", 128GB + 4GB RAM (Dual SIM), 4G, 5000mAh, Dusk Grey","KSh 19,799",4 out of 5
Oppo A3S 64GB + 4GBRAM - 4G LTE Dual SIM - 6.2-inch Display - Face Unlock（Blue),"KSh 9,799",1 out of 5
Tecno Camon 19  6.8-inch 128GB+4GB RAM-64 MP-battery-5000 WHITE- +FREE CLASSIC GIFTS,"KSh 24,200",5 out of 5
"Tecno Spark 9, 6.6"", 13MP, 64GB ROM  + 4GB RAM (Dual SIM), 5000mAh","KSh 14,998",3.8 out of 5
"Samsung Galaxy M32, 6.4"", 128GB + 6GB RAM (Dual SIM), 5000mAh, Blue","KSh 22,999",4.4 out of 5
"Bontel 911 1.77"" Display, Flip Phone- Red","KSh 1,869",4.4 out of 5
Not found,error,error
XIAOMI Redmi 10 6.5'' Inches 4+64GB 50MP Rear Camera 4G Smartphone - Grey,"KSh 18,599",4.4 out of 5
"XIAOMI Redmi Note 11, 6.43"" , AMOLED, 4GB+128GB, 50MP, 4G LTE, Twilight Blue","KSh 23,799",4.5 out of 5
"Samsung Galaxy A13, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Peach Orange","KSh 22,079",5 out of 5
"Samsung Galaxy A03, 6.5"", Size,,64GB //4GB RAM (Dual SIM), 5000mAh,3 CLASSIC GIFTS","KSh 16,400",5 out of 5
"Samsung Galaxy A53 5G, 6.5"", 128G + 8GB RAM (Dual SIM), 5000mAh, Awesome Black","KSh 45,119",4.8 out of 5
"Infinix HOT 20i, 6.6''Display 2GB+64GB-DualSim-13MP Camera, 5000mAh +QUALITY ACCESSORIES","KSh 12,999",0 out of 5
"Itel It 5081-2.40"" Screen//3-Triple SIM CARD//Opera Mini//FM Radio//it5081- Blue","KSh 1,777",4.7 out of 5
"Tecno T301 - Dual Sim, FM, BT, Torch - Black","KSh 1,539",4.4 out of 5
XIAOMI Mi 300Mbps Wifi Range Extender Repeater Pro Amplifier,"KSh 1,797",4.3 out of 5
"Infinix HOT 12i, 6.52''Display 3GB+64GB-DualSim-13MP Camera, 6000mAh +Gifts","KSh 14,799",4.5 out of 5
X Tigi Sharp2-4G Network-Octa Core-4GB Ram-128Gb Rom-16Mp/16+2+2Mp-Black,"KSh 11,999",5 out of 5
"Sowhat Y7 4.72"" HD+ ,FACEBOOK ,WHATASP ,SMART PHONE PLUS FREE 2GB MEMORY CARD","KSh 4,500",0 out of 5
"XIAOMI Redmi A1+ (plus), 6.52""-2GB+32GB-8MP, 5000mAh, 4G LTE, (Dual SIM) Light BLUE","KSh 10,249",0 out of 5
"Nokia 106 Dual Sim, [4MB RAM + 4MB ROM], 1.8'', - PHONE+FREE CLASSIC WATCH","KSh 1,990",3.8 out of 5
Oppo F11 Android Smart Phone 6GB+128GB 6.53 Inch 48MP 4020mAh Dual SIM - Green,"KSh 19,490",3 out of 5
